TABLE_NAME,PK
Opportunities,ID
OpportunityMembers,ID
OpportunityOpenLogs,ID
OpportunityRetailConfigDetails,ID
OpportunityRetailConfigs,ID
OpportunityRetailCosts,ID
OpportunityRetailTypes,ID
OpportunityShareGroups,ID
OpportunityShares,ID
OpportunityShareUsers,ID
OpportunityStates,ID
OpportunityStatus,ID
OpportunityTranferLogs,ID
OpportunityTransitions,ID
OpportunityUserChargeDetails,ID
OpportunityUserCharges,ID
OrderAuthenticaDocumentTypes,ID
OrderBuyContracts,ID
OrderClaimCodes,ID
OrderDeliveryProgresses,ID
OrderDetails,ID
OrderExportInvoices,ID
OrderInvoices,ID
OrderPaymentGuarantees,ID
OrderPayments,ID
Orders,ID
OrderSerials,ID
OrderWarranties,ID
OvertimeDetailOverViews,ID
OvertimeDetails,ID
Overtimes,ID
ParamsReportHandOvers,ID
ParamsReportInvoiceVoucherDetails,ID
PartnerForConsultants,ID
Partners,ID
PaymentItems,ID
Payments,ID
PaymentTypes,ID
PeriodTempFinalizationConfigs,ID
PermissionAccesses,ID
Permissions,ID
PMOGanttDependencies,ID
PMOGanttResourceAssignments,ID
PMOGanttResources,ID
PMOGanttTasks,ID
ProductConsultantDetails,ID
ProductDetails,ID
Products,ID
ProfitTranferByUsers,ID
ProfitTranferDetails,ID
ProfitTranfers,ID
ProgressPermissions,ID
ProjectDecisions,ID
ProjectManagerStages,ID
ProjectManagerStatus,ID
ProjectRewardConfigs,ID
ProjectRoles,ID
ProjectTypePermissions,ID
ProjectTypes,ID
ProviderItems,ID
Provinces,ID
QTrackingAttachments,ID
QTrackingCategories,ID
QTrackingFunctions,ID
QTrackingHistories,ID
QTrackingMessages,ID
QTrackingPriorityStatus,ID
QTrackings,ID
QTrackingStatus,ID
QuitJobRequests,ID
QuotationAdvancePaymentFroms,ID
QuotationAdvancePayments,ID
QuotationAdvancePaymentTypes,ID
QuotationDeployDeliveries,ID
QuotationDeployDeliveryFroms,ID
QuotationDeployDeliveryTypes,ID
QuotationGuaranteeConditions,ID
QuotationGuarantees,ID
QuotationGuaranteeTypes,ID
QuotationGuaranteeUnits,ID
QuotationInvoices,ID
QuotationProducts,ID
Quotations,ID
QuotationSupportServiceFroms,ID
QuotationSupportServices,ID
QuotationTimeUnits,ID
QuotationWarranties,ID
QuotationWarrantyFroms,ID
RADetails,ID
RateUserInConsultants,ID
Ratings,ID
RawDataTKPCombines,ID
ReasonCloseConsultants,ID
Rebates,ID
RecruitmentHandles,ID
Recruitments,ID
RecruitmentWorks,ID
RecruitSuggests,ID
RegisterOffDays,ID
RegisterProposes,ID
RegisterRooms,ID
RegisterServices,ID
RegisterVacationDetails,ID
RegisterVacations,ID
RepayBookDetails,ID
RepayBooks,ID
ReportDescriptions,ID
RequestAccountConfigExcepts,ID
RequestAccountConfigs,ID
RequestAccounts,ID
RequestChangeFinancials,ID
RequestChangeTypes,ID
RequestExecutives,ID
RequestInvoices,ID
RequestMessages,ID
RequestOpenCancelOpportunities,ID
RequestSellInventories,ID
RequestSellInventoryDetails,ID
RequestTaskValues,ID
RequirementImportDetails,ID
RequirementImportHistories,ID
RequirementImportMessages,ID
RequirementImports,ID
ResponseDetails,ID
RetailConditions,ID
RevenueInternalDocumentDetailConsuls,ID
RevenueInternalDocumentDetailDeloys,ID
RevenueInternalDocuments,ID
RevenueInternalDocumentTrackingInvoices,ID
ReviewContractConditions,ID
ReviewContractExpressions,ID
ReviewContractFileAttachments,ID
ReviewContractHistories,ID
ReviewContractMessages,ID
ReviewContractRequestUploads,ID
ReviewContracts,ID
ReviewContractTypes,ID
ReviewContractUsers,ID
ReviewExpiredContractOwnerReviews,ID
ReviewExpiredContracts,ID
ReviewExpiredContractSelfReviews,ID
ReviewExpiredContractTimes,ID
RewardFromSuppliers,ID
RightsTypes,ID
RiskCoefficientRates,ID
Risks,ID
RiskTypes,ID
RoleLogs,ID
Roles,ID
Rooms,ID
RPDetails,ID
SalePipelinePermissions,ID
ScheduleLogs,ID
SendMailFails,ID
Services,ID
ServiceTypes,ID
ShipTypes,ID
ShowFunds,ID
SLAInfoes,ID
SLAItems,ID
SoftwareProductDetails,ID
SoftwareProducts,ID
StackHolders,ID
StandingOrderHistories,ID
StandingOrders,ID
Suppliers,ID
SurveyAnswers,ID
SurveyDetails,ID
SurveyQuestions,ID
Surveys,ID
SystemNotifications,ID
SystemRules,ID
TableDictionaries,ID
TechnicalExperts,ID
TechnologicalCapabilityConfigs,ID
TestWorkOwnerHRReports,ID
TestWorkOwnerReports,ID
TestWorkPlanItems,ID
TestWorkPlans,ID
TestWorkReports,ID
TestWorkSelfJobs,ID
TestWorkSelfReports,ID
TimeAndBrackets,ID
TimekeepingAttachments,ID
TimekeepingReports,ID
Timekeepings,ID
TimekeepingTypes,ID
Times,ID
TimeSheets,ID
Titles,ID
Todoes,ID
ToolTips,ID
TrackCollectionInfoes,ID
TrackCollections,ID
TrackDocuments,ID
TrackingCategories,ID
TrackingInvoiceInfoes,ID
TrackingInvoices,ID
TypeItems,ID
UserCheckingResultConsultants,ID
UserContracts,ID
UserContractTypes,ID
UserCustomerLogs,ID
UserCustomers,ID
UserEmployeeTypeByYears,ID
UserEmployeeTypes,ID
UserExternals,ID
UserFinishBusinessPlans,ID
UserGroups,ID
UserLogs,ID
UserRights,ID
UserRoleGroupLogs,ID
UserRoleGroups,ID
UserRoles,ID
Users,ID
UserScoreDetails,ID
UserScores,ID
ValidationRules,ID
ValueContractProjects,ID
ViewFileLogs,ID
WarehouseBorrowDetails,ID
WarehouseBorrows,ID
WarehouseInputDetails,ID
WarehouseInputs,ID
WarehouseOutputDetails,ID
WarehouseOutputs,ID
WarehousePackageLogs,ID
WarehousePackages,ID
WarehouseRequireOuputDetails,ID
WarehouseRequireOuputReports,ID
WarehouseRequireOuputs,ID
Warehouses,ID
WarehouseSerialNumberHistories,ID
WarehouseTranferDetails,ID
WarehouseTranfers,ID
WarehouseTransferTypes,ID
Warranties,ID
WarrantyApplicationTypes,ID
WarrantyBranches,ID
WarrantyCatalogOfEquipmentBackups,ID
WarrantyCatalogOfEquipmentHistories,ID
WarrantyCatalogOfEquipments,ID
WarrantyCommitmentTypes,ID
WarrantyCostRatioByOrderDetails,ID
WarrantyDeviceTypes,ID
WarrantyDiscounts,ID
WarrantyExtendedBrackets,ID
WarrantyExtraOptions,ID
WarrantyExtras,ID
WarrantyFormulas,ID
WarrantyLocations,ID
WarrantyOptions,ID
WarrantyOtherLocationTypes,ID
WarrantyProcessingTypes,ID
WarrantyQueryHistories,ID
WarrantyReturnTypes,ID
WarrantySparePartBKs,ID
WarrantySpareParts,ID
WarrantySuggestedPriceDetails,ID
WarrantySuggestedPrices,ID
WarrantyTimes,ID
WarrantyTypes,ID
WarrantyUserCarts,ID
WarrantyVendors,ID
WelcomeNewers,ID
WelcomeNewerUsers,ID
WFActionDefinitions,ID
WFActivityDefinitions,ID
WFActivityInstants,ID
WFActivityRoleAssignInstants,ID
WFActivityRoleDefinitions,ID
WFActivityRoleInstants,ID
WFAuthorities,ID
WFConditionDefinitionLogs,ID
WFConditionDefinitions,ID
WFDefinitionInstants,ID
WFDefinitions,ID
WFDemoItems,ID
WFDocumentInstants,ID
WFEventHistories,ID
WFEventListeners,ID
WFEvents,ID
WFFullTransitionInstants,ID
WFMessagesInstants,ID
WFParameters,ID
WFQueues,ID
WFSystemActionLogs,ID
WFTransitionDefinitions,ID
WFTransitionInstants,ID
WFViewDetails,ID
WFViews,ID
WorkReportTypes,ID
ExpenseAccounts,ID
